Epoch: 001, Train Acc: 0.6405, Train Loss: 0.8973, Valid Acc: 0.6383, Valid Loss: 0.8902, Test Acc: 0.6667, Test Loss: 0.8652
Epoch: 002, Train Acc: 0.3714, Train Loss: 0.8813, Valid Acc: 0.3617, Valid Loss: 0.8862, Test Acc: 0.3417, Test Loss: 0.8677
Epoch: 003, Train Acc: 0.6524, Train Loss: 0.8770, Valid Acc: 0.6170, Valid Loss: 0.8885, Test Acc: 0.6833, Test Loss: 0.8637
Epoch: 004, Train Acc: 0.6452, Train Loss: 0.8864, Valid Acc: 0.6170, Valid Loss: 0.8884, Test Acc: 0.6833, Test Loss: 0.8620
Epoch: 005, Train Acc: 0.6452, Train Loss: 0.8755, Valid Acc: 0.6383, Valid Loss: 0.8853, Test Acc: 0.6917, Test Loss: 0.8607
Epoch: 006, Train Acc: 0.6119, Train Loss: 0.8821, Valid Acc: 0.6596, Valid Loss: 0.8813, Test Acc: 0.6833, Test Loss: 0.8568
Epoch: 007, Train Acc: 0.6500, Train Loss: 0.8702, Valid Acc: 0.6383, Valid Loss: 0.8803, Test Acc: 0.6917, Test Loss: 0.8546
Epoch: 008, Train Acc: 0.6024, Train Loss: 0.8732, Valid Acc: 0.6596, Valid Loss: 0.8754, Test Acc: 0.6667, Test Loss: 0.8520
Epoch: 009, Train Acc: 0.6095, Train Loss: 0.8685, Valid Acc: 0.5532, Valid Loss: 0.8711, Test Acc: 0.6333, Test Loss: 0.8505
Epoch: 010, Train Acc: 0.6190, Train Loss: 0.8588, Valid Acc: 0.5957, Valid Loss: 0.8678, Test Acc: 0.6500, Test Loss: 0.8460
Epoch: 011, Train Acc: 0.6071, Train Loss: 0.8584, Valid Acc: 0.6809, Valid Loss: 0.8655, Test Acc: 0.6500, Test Loss: 0.8453
Epoch: 012, Train Acc: 0.6286, Train Loss: 0.8579, Valid Acc: 0.5745, Valid Loss: 0.8621, Test Acc: 0.6500, Test Loss: 0.8420
Epoch: 013, Train Acc: 0.6333, Train Loss: 0.8439, Valid Acc: 0.6596, Valid Loss: 0.8560, Test Acc: 0.6500, Test Loss: 0.8384
Epoch: 014, Train Acc: 0.6286, Train Loss: 0.8478, Valid Acc: 0.6170, Valid Loss: 0.8531, Test Acc: 0.6417, Test Loss: 0.8340
Epoch: 015, Train Acc: 0.6238, Train Loss: 0.8556, Valid Acc: 0.7021, Valid Loss: 0.8482, Test Acc: 0.6417, Test Loss: 0.8302
Epoch: 016, Train Acc: 0.6262, Train Loss: 0.8511, Valid Acc: 0.5745, Valid Loss: 0.8510, Test Acc: 0.6500, Test Loss: 0.8266
Epoch: 017, Train Acc: 0.6143, Train Loss: 0.8439, Valid Acc: 0.7021, Valid Loss: 0.8439, Test Acc: 0.6083, Test Loss: 0.8237
Epoch: 018, Train Acc: 0.6476, Train Loss: 0.8447, Valid Acc: 0.5957, Valid Loss: 0.8452, Test Acc: 0.6667, Test Loss: 0.8211
Epoch: 019, Train Acc: 0.6405, Train Loss: 0.8459, Valid Acc: 0.6170, Valid Loss: 0.8388, Test Acc: 0.6500, Test Loss: 0.8195
Epoch: 020, Train Acc: 0.6381, Train Loss: 0.8377, Valid Acc: 0.7021, Valid Loss: 0.8314, Test Acc: 0.6500, Test Loss: 0.8167
Epoch: 021, Train Acc: 0.6310, Train Loss: 0.8292, Valid Acc: 0.7021, Valid Loss: 0.8314, Test Acc: 0.6333, Test Loss: 0.8148
Epoch: 022, Train Acc: 0.6452, Train Loss: 0.8313, Valid Acc: 0.6596, Valid Loss: 0.8320, Test Acc: 0.6750, Test Loss: 0.8117
Epoch: 023, Train Acc: 0.6833, Train Loss: 0.8307, Valid Acc: 0.5957, Valid Loss: 0.8320, Test Acc: 0.6917, Test Loss: 0.8131
Epoch: 024, Train Acc: 0.6429, Train Loss: 0.8349, Valid Acc: 0.7021, Valid Loss: 0.8239, Test Acc: 0.6750, Test Loss: 0.8105
Epoch: 025, Train Acc: 0.6429, Train Loss: 0.8128, Valid Acc: 0.7021, Valid Loss: 0.8219, Test Acc: 0.6583, Test Loss: 0.8086
Epoch: 026, Train Acc: 0.6333, Train Loss: 0.8142, Valid Acc: 0.7021, Valid Loss: 0.8172, Test Acc: 0.6083, Test Loss: 0.8063
Epoch: 027, Train Acc: 0.6500, Train Loss: 0.8216, Valid Acc: 0.7021, Valid Loss: 0.8170, Test Acc: 0.6583, Test Loss: 0.8058
Epoch: 028, Train Acc: 0.6619, Train Loss: 0.8216, Valid Acc: 0.7447, Valid Loss: 0.8192, Test Acc: 0.6250, Test Loss: 0.8060
Epoch: 029, Train Acc: 0.6524, Train Loss: 0.8206, Valid Acc: 0.7021, Valid Loss: 0.8157, Test Acc: 0.6083, Test Loss: 0.8040
Epoch: 030, Train Acc: 0.6619, Train Loss: 0.8307, Valid Acc: 0.6809, Valid Loss: 0.8129, Test Acc: 0.6500, Test Loss: 0.8024
Epoch: 031, Train Acc: 0.6548, Train Loss: 0.8231, Valid Acc: 0.7021, Valid Loss: 0.8082, Test Acc: 0.6250, Test Loss: 0.8047
Epoch: 032, Train Acc: 0.6238, Train Loss: 0.8078, Valid Acc: 0.7021, Valid Loss: 0.8076, Test Acc: 0.6083, Test Loss: 0.8135
Epoch: 033, Train Acc: 0.6381, Train Loss: 0.8099, Valid Acc: 0.6809, Valid Loss: 0.8063, Test Acc: 0.6333, Test Loss: 0.8080
Epoch: 034, Train Acc: 0.6452, Train Loss: 0.8152, Valid Acc: 0.6809, Valid Loss: 0.8055, Test Acc: 0.6333, Test Loss: 0.8038
Epoch: 035, Train Acc: 0.6905, Train Loss: 0.7907, Valid Acc: 0.7021, Valid Loss: 0.8154, Test Acc: 0.6250, Test Loss: 0.8071
Epoch: 036, Train Acc: 0.6762, Train Loss: 0.7936, Valid Acc: 0.6809, Valid Loss: 0.8089, Test Acc: 0.6083, Test Loss: 0.8060
Epoch: 037, Train Acc: 0.6905, Train Loss: 0.8087, Valid Acc: 0.7021, Valid Loss: 0.8076, Test Acc: 0.6250, Test Loss: 0.8054
Epoch: 038, Train Acc: 0.6238, Train Loss: 0.8001, Valid Acc: 0.7021, Valid Loss: 0.7999, Test Acc: 0.6000, Test Loss: 0.8060
Epoch: 039, Train Acc: 0.6905, Train Loss: 0.7833, Valid Acc: 0.6809, Valid Loss: 0.8073, Test Acc: 0.6750, Test Loss: 0.8036
Epoch: 040, Train Acc: 0.6524, Train Loss: 0.8019, Valid Acc: 0.7447, Valid Loss: 0.7982, Test Acc: 0.5833, Test Loss: 0.8058
Epoch: 041, Train Acc: 0.6119, Train Loss: 0.7934, Valid Acc: 0.6809, Valid Loss: 0.8025, Test Acc: 0.5750, Test Loss: 0.8102
Epoch: 042, Train Acc: 0.7214, Train Loss: 0.7969, Valid Acc: 0.6809, Valid Loss: 0.8026, Test Acc: 0.6833, Test Loss: 0.8031
Epoch: 043, Train Acc: 0.6786, Train Loss: 0.7881, Valid Acc: 0.7234, Valid Loss: 0.7981, Test Acc: 0.5917, Test Loss: 0.8014
Epoch: 044, Train Acc: 0.6810, Train Loss: 0.7831, Valid Acc: 0.7447, Valid Loss: 0.7973, Test Acc: 0.6000, Test Loss: 0.7996
Epoch: 045, Train Acc: 0.6476, Train Loss: 0.7771, Valid Acc: 0.7021, Valid Loss: 0.7953, Test Acc: 0.5917, Test Loss: 0.8000
Epoch: 046, Train Acc: 0.6238, Train Loss: 0.7874, Valid Acc: 0.6809, Valid Loss: 0.8008, Test Acc: 0.5750, Test Loss: 0.8060
Epoch: 047, Train Acc: 0.7381, Train Loss: 0.8034, Valid Acc: 0.6809, Valid Loss: 0.8145, Test Acc: 0.6500, Test Loss: 0.8051
Epoch: 048, Train Acc: 0.7548, Train Loss: 0.7871, Valid Acc: 0.7021, Valid Loss: 0.8055, Test Acc: 0.6417, Test Loss: 0.8080
Epoch: 049, Train Acc: 0.6690, Train Loss: 0.7838, Valid Acc: 0.7234, Valid Loss: 0.7963, Test Acc: 0.6000, Test Loss: 0.8034
Epoch: 050, Train Acc: 0.6881, Train Loss: 0.7773, Valid Acc: 0.7234, Valid Loss: 0.7997, Test Acc: 0.5833, Test Loss: 0.8074
Epoch: 051, Train Acc: 0.7071, Train Loss: 0.7733, Valid Acc: 0.7447, Valid Loss: 0.7968, Test Acc: 0.6000, Test Loss: 0.8091
Epoch: 052, Train Acc: 0.7190, Train Loss: 0.7683, Valid Acc: 0.7447, Valid Loss: 0.7955, Test Acc: 0.6000, Test Loss: 0.8093
Epoch: 053, Train Acc: 0.6619, Train Loss: 0.7757, Valid Acc: 0.7234, Valid Loss: 0.7943, Test Acc: 0.5750, Test Loss: 0.8133
Epoch: 054, Train Acc: 0.7119, Train Loss: 0.7799, Valid Acc: 0.7021, Valid Loss: 0.7972, Test Acc: 0.6167, Test Loss: 0.8087
Epoch: 055, Train Acc: 0.6595, Train Loss: 0.7979, Valid Acc: 0.7234, Valid Loss: 0.7971, Test Acc: 0.5750, Test Loss: 0.8163
Epoch: 056, Train Acc: 0.7119, Train Loss: 0.7847, Valid Acc: 0.7021, Valid Loss: 0.8008, Test Acc: 0.6250, Test Loss: 0.8045
Epoch: 057, Train Acc: 0.7333, Train Loss: 0.7853, Valid Acc: 0.7447, Valid Loss: 0.7953, Test Acc: 0.6417, Test Loss: 0.8046
Epoch: 058, Train Acc: 0.7262, Train Loss: 0.7811, Valid Acc: 0.7021, Valid Loss: 0.7964, Test Acc: 0.6167, Test Loss: 0.8028
Epoch: 059, Train Acc: 0.7048, Train Loss: 0.7562, Valid Acc: 0.6809, Valid Loss: 0.8045, Test Acc: 0.6167, Test Loss: 0.8033
Epoch: 060, Train Acc: 0.6786, Train Loss: 0.7623, Valid Acc: 0.7021, Valid Loss: 0.8012, Test Acc: 0.5833, Test Loss: 0.8096
Epoch: 061, Train Acc: 0.7190, Train Loss: 0.7687, Valid Acc: 0.7021, Valid Loss: 0.8006, Test Acc: 0.6167, Test Loss: 0.8034
Epoch: 062, Train Acc: 0.7571, Train Loss: 0.7652, Valid Acc: 0.7447, Valid Loss: 0.8043, Test Acc: 0.6250, Test Loss: 0.8013
Epoch: 063, Train Acc: 0.6929, Train Loss: 0.7871, Valid Acc: 0.7021, Valid Loss: 0.8010, Test Acc: 0.5833, Test Loss: 0.8046
Epoch: 064, Train Acc: 0.7286, Train Loss: 0.7818, Valid Acc: 0.7021, Valid Loss: 0.8031, Test Acc: 0.6333, Test Loss: 0.8030
Epoch: 065, Train Acc: 0.7310, Train Loss: 0.7660, Valid Acc: 0.7021, Valid Loss: 0.8036, Test Acc: 0.6250, Test Loss: 0.8072
Epoch: 066, Train Acc: 0.6976, Train Loss: 0.7483, Valid Acc: 0.7021, Valid Loss: 0.8027, Test Acc: 0.5833, Test Loss: 0.8017
Epoch: 067, Train Acc: 0.7762, Train Loss: 0.7479, Valid Acc: 0.6809, Valid Loss: 0.8222, Test Acc: 0.6417, Test Loss: 0.8221
Epoch: 068, Train Acc: 0.7262, Train Loss: 0.7821, Valid Acc: 0.7021, Valid Loss: 0.7921, Test Acc: 0.6167, Test Loss: 0.8016
Epoch: 069, Train Acc: 0.7429, Train Loss: 0.7515, Valid Acc: 0.7021, Valid Loss: 0.7921, Test Acc: 0.6333, Test Loss: 0.8012
