Epoch: 001, Train Acc: 0.3610, Train Loss: 0.8813, Valid Acc: 0.3696, Valid Loss: 0.8801, Test Acc: 0.3333, Test Loss: 0.8724
Epoch: 002, Train Acc: 0.3658, Train Loss: 0.8841, Valid Acc: 0.3696, Valid Loss: 0.8789, Test Acc: 0.3417, Test Loss: 0.8679
Epoch: 003, Train Acc: 0.5439, Train Loss: 0.8770, Valid Acc: 0.5000, Valid Loss: 0.8766, Test Acc: 0.5583, Test Loss: 0.8624
Epoch: 004, Train Acc: 0.6057, Train Loss: 0.8744, Valid Acc: 0.5217, Valid Loss: 0.8755, Test Acc: 0.6083, Test Loss: 0.8590
Epoch: 005, Train Acc: 0.5962, Train Loss: 0.8691, Valid Acc: 0.5000, Valid Loss: 0.8741, Test Acc: 0.5833, Test Loss: 0.8573
Epoch: 006, Train Acc: 0.6366, Train Loss: 0.8712, Valid Acc: 0.5000, Valid Loss: 0.8723, Test Acc: 0.6333, Test Loss: 0.8520
Epoch: 007, Train Acc: 0.6461, Train Loss: 0.8579, Valid Acc: 0.5217, Valid Loss: 0.8681, Test Acc: 0.6167, Test Loss: 0.8474
Epoch: 008, Train Acc: 0.6651, Train Loss: 0.8596, Valid Acc: 0.5435, Valid Loss: 0.8623, Test Acc: 0.6667, Test Loss: 0.8378
Epoch: 009, Train Acc: 0.7506, Train Loss: 0.8405, Valid Acc: 0.6522, Valid Loss: 0.8556, Test Acc: 0.7333, Test Loss: 0.8252
Epoch: 010, Train Acc: 0.5487, Train Loss: 0.8208, Valid Acc: 0.5217, Valid Loss: 0.8652, Test Acc: 0.5083, Test Loss: 0.8298
Epoch: 011, Train Acc: 0.6746, Train Loss: 0.8332, Valid Acc: 0.5870, Valid Loss: 0.8470, Test Acc: 0.6833, Test Loss: 0.8066
Epoch: 012, Train Acc: 0.6461, Train Loss: 0.8169, Valid Acc: 0.5435, Valid Loss: 0.8490, Test Acc: 0.6500, Test Loss: 0.8021
Epoch: 013, Train Acc: 0.6152, Train Loss: 0.7995, Valid Acc: 0.5652, Valid Loss: 0.8517, Test Acc: 0.6167, Test Loss: 0.7960
