Epoch: 001, Train Acc: 0.5645, Train Loss: 0.7996, Valid Acc: 0.5714, Valid Loss: 0.7765, Test Acc: 0.4681, Test Loss: 0.8117
Epoch: 002, Train Acc: 0.5645, Train Loss: 0.7812, Valid Acc: 0.5714, Valid Loss: 0.7756, Test Acc: 0.4681, Test Loss: 0.8079
Epoch: 003, Train Acc: 0.5645, Train Loss: 0.7804, Valid Acc: 0.5714, Valid Loss: 0.7744, Test Acc: 0.4681, Test Loss: 0.8073
Epoch: 004, Train Acc: 0.5860, Train Loss: 0.7839, Valid Acc: 0.7143, Valid Loss: 0.7740, Test Acc: 0.4894, Test Loss: 0.8023
Epoch: 005, Train Acc: 0.6022, Train Loss: 0.7828, Valid Acc: 0.7143, Valid Loss: 0.7722, Test Acc: 0.5213, Test Loss: 0.8012
Epoch: 006, Train Acc: 0.6398, Train Loss: 0.7782, Valid Acc: 0.6190, Valid Loss: 0.7723, Test Acc: 0.6809, Test Loss: 0.7946
Epoch: 007, Train Acc: 0.6559, Train Loss: 0.7773, Valid Acc: 0.7143, Valid Loss: 0.7706, Test Acc: 0.5957, Test Loss: 0.7973
Epoch: 008, Train Acc: 0.6505, Train Loss: 0.7753, Valid Acc: 0.7143, Valid Loss: 0.7695, Test Acc: 0.5426, Test Loss: 0.7971
Epoch: 009, Train Acc: 0.6613, Train Loss: 0.7704, Valid Acc: 0.7143, Valid Loss: 0.7684, Test Acc: 0.5532, Test Loss: 0.7964
Epoch: 010, Train Acc: 0.6613, Train Loss: 0.7743, Valid Acc: 0.7143, Valid Loss: 0.7664, Test Acc: 0.5532, Test Loss: 0.7951
Epoch: 011, Train Acc: 0.6882, Train Loss: 0.7695, Valid Acc: 0.6667, Valid Loss: 0.7649, Test Acc: 0.5851, Test Loss: 0.7918
Epoch: 012, Train Acc: 0.6882, Train Loss: 0.7561, Valid Acc: 0.6190, Valid Loss: 0.7623, Test Acc: 0.5957, Test Loss: 0.7887
Epoch: 013, Train Acc: 0.6183, Train Loss: 0.7560, Valid Acc: 0.6190, Valid Loss: 0.7589, Test Acc: 0.5106, Test Loss: 0.7910
Epoch: 014, Train Acc: 0.7473, Train Loss: 0.7552, Valid Acc: 0.7619, Valid Loss: 0.7540, Test Acc: 0.7128, Test Loss: 0.7712
Epoch: 015, Train Acc: 0.7312, Train Loss: 0.7530, Valid Acc: 0.7143, Valid Loss: 0.7520, Test Acc: 0.7447, Test Loss: 0.7650
Epoch: 016, Train Acc: 0.7043, Train Loss: 0.7478, Valid Acc: 0.6667, Valid Loss: 0.7486, Test Acc: 0.6383, Test Loss: 0.7737
Epoch: 017, Train Acc: 0.7634, Train Loss: 0.7412, Valid Acc: 0.6667, Valid Loss: 0.7437, Test Acc: 0.6915, Test Loss: 0.7623
Epoch: 018, Train Acc: 0.7849, Train Loss: 0.7325, Valid Acc: 0.7143, Valid Loss: 0.7407, Test Acc: 0.7660, Test Loss: 0.7456
Epoch: 019, Train Acc: 0.7742, Train Loss: 0.7326, Valid Acc: 0.7143, Valid Loss: 0.7363, Test Acc: 0.7447, Test Loss: 0.7485
Epoch: 020, Train Acc: 0.7204, Train Loss: 0.7167, Valid Acc: 0.6190, Valid Loss: 0.7365, Test Acc: 0.6702, Test Loss: 0.7566
Epoch: 021, Train Acc: 0.7796, Train Loss: 0.7263, Valid Acc: 0.7143, Valid Loss: 0.7286, Test Acc: 0.7447, Test Loss: 0.7369
Epoch: 022, Train Acc: 0.7796, Train Loss: 0.7211, Valid Acc: 0.7143, Valid Loss: 0.7242, Test Acc: 0.7447, Test Loss: 0.7294
Epoch: 023, Train Acc: 0.7419, Train Loss: 0.7103, Valid Acc: 0.7143, Valid Loss: 0.7204, Test Acc: 0.7021, Test Loss: 0.7371
Epoch: 024, Train Acc: 0.7742, Train Loss: 0.7052, Valid Acc: 0.7619, Valid Loss: 0.7138, Test Acc: 0.7447, Test Loss: 0.7146
Epoch: 025, Train Acc: 0.7849, Train Loss: 0.6979, Valid Acc: 0.7619, Valid Loss: 0.7102, Test Acc: 0.7553, Test Loss: 0.7164
Epoch: 026, Train Acc: 0.7796, Train Loss: 0.6989, Valid Acc: 0.7143, Valid Loss: 0.7088, Test Acc: 0.7553, Test Loss: 0.7077
Epoch: 027, Train Acc: 0.7634, Train Loss: 0.6928, Valid Acc: 0.7143, Valid Loss: 0.7045, Test Acc: 0.7553, Test Loss: 0.7022
Epoch: 028, Train Acc: 0.7688, Train Loss: 0.6924, Valid Acc: 0.7143, Valid Loss: 0.7028, Test Acc: 0.7660, Test Loss: 0.6953
Epoch: 029, Train Acc: 0.7796, Train Loss: 0.6806, Valid Acc: 0.7143, Valid Loss: 0.6987, Test Acc: 0.7553, Test Loss: 0.6948
Epoch: 030, Train Acc: 0.7903, Train Loss: 0.6749, Valid Acc: 0.7619, Valid Loss: 0.6943, Test Acc: 0.7553, Test Loss: 0.7014
Epoch: 031, Train Acc: 0.7796, Train Loss: 0.6783, Valid Acc: 0.6667, Valid Loss: 0.6924, Test Acc: 0.7660, Test Loss: 0.6828
Epoch: 032, Train Acc: 0.8065, Train Loss: 0.6760, Valid Acc: 0.7143, Valid Loss: 0.6921, Test Acc: 0.7447, Test Loss: 0.6749
Epoch: 033, Train Acc: 0.7796, Train Loss: 0.6691, Valid Acc: 0.7143, Valid Loss: 0.6907, Test Acc: 0.7447, Test Loss: 0.6839
Epoch: 034, Train Acc: 0.7796, Train Loss: 0.6589, Valid Acc: 0.7143, Valid Loss: 0.6871, Test Acc: 0.7553, Test Loss: 0.6806
Epoch: 035, Train Acc: 0.7796, Train Loss: 0.6720, Valid Acc: 0.7143, Valid Loss: 0.6838, Test Acc: 0.7447, Test Loss: 0.6814
Epoch: 036, Train Acc: 0.7957, Train Loss: 0.6396, Valid Acc: 0.7143, Valid Loss: 0.6823, Test Acc: 0.7553, Test Loss: 0.6649
Epoch: 037, Train Acc: 0.7957, Train Loss: 0.6536, Valid Acc: 0.7143, Valid Loss: 0.6827, Test Acc: 0.7553, Test Loss: 0.6639
Epoch: 038, Train Acc: 0.7742, Train Loss: 0.6689, Valid Acc: 0.7143, Valid Loss: 0.6839, Test Acc: 0.7553, Test Loss: 0.6742
Epoch: 039, Train Acc: 0.8226, Train Loss: 0.6625, Valid Acc: 0.7143, Valid Loss: 0.6846, Test Acc: 0.7660, Test Loss: 0.6535
Epoch: 040, Train Acc: 0.7957, Train Loss: 0.6589, Valid Acc: 0.7143, Valid Loss: 0.6775, Test Acc: 0.7553, Test Loss: 0.6635
Epoch: 041, Train Acc: 0.7903, Train Loss: 0.6490, Valid Acc: 0.7143, Valid Loss: 0.6743, Test Acc: 0.7447, Test Loss: 0.6636
Epoch: 042, Train Acc: 0.8065, Train Loss: 0.6423, Valid Acc: 0.7619, Valid Loss: 0.6723, Test Acc: 0.7553, Test Loss: 0.6563
Epoch: 043, Train Acc: 0.8065, Train Loss: 0.6381, Valid Acc: 0.7143, Valid Loss: 0.6698, Test Acc: 0.7660, Test Loss: 0.6527
Epoch: 044, Train Acc: 0.8172, Train Loss: 0.6360, Valid Acc: 0.7143, Valid Loss: 0.6687, Test Acc: 0.7553, Test Loss: 0.6483
Epoch: 045, Train Acc: 0.7957, Train Loss: 0.6481, Valid Acc: 0.7143, Valid Loss: 0.6634, Test Acc: 0.7553, Test Loss: 0.6530
Epoch: 046, Train Acc: 0.8118, Train Loss: 0.6130, Valid Acc: 0.6667, Valid Loss: 0.6607, Test Acc: 0.7553, Test Loss: 0.6502
Epoch: 047, Train Acc: 0.8226, Train Loss: 0.6328, Valid Acc: 0.8095, Valid Loss: 0.6582, Test Acc: 0.7660, Test Loss: 0.6400
Epoch: 048, Train Acc: 0.8118, Train Loss: 0.6331, Valid Acc: 0.7143, Valid Loss: 0.6542, Test Acc: 0.7447, Test Loss: 0.6468
Epoch: 049, Train Acc: 0.8280, Train Loss: 0.6194, Valid Acc: 0.8095, Valid Loss: 0.6577, Test Acc: 0.7553, Test Loss: 0.6401
Epoch: 050, Train Acc: 0.8172, Train Loss: 0.6333, Valid Acc: 0.7143, Valid Loss: 0.6543, Test Acc: 0.7660, Test Loss: 0.6417
Epoch: 051, Train Acc: 0.8387, Train Loss: 0.6102, Valid Acc: 0.7619, Valid Loss: 0.6492, Test Acc: 0.7553, Test Loss: 0.6370
Epoch: 052, Train Acc: 0.8333, Train Loss: 0.6043, Valid Acc: 0.6667, Valid Loss: 0.6470, Test Acc: 0.7553, Test Loss: 0.6381
Epoch: 053, Train Acc: 0.8226, Train Loss: 0.6257, Valid Acc: 0.6667, Valid Loss: 0.6464, Test Acc: 0.7660, Test Loss: 0.6387
Epoch: 054, Train Acc: 0.8333, Train Loss: 0.6198, Valid Acc: 0.8095, Valid Loss: 0.6474, Test Acc: 0.7447, Test Loss: 0.6292
Epoch: 055, Train Acc: 0.8333, Train Loss: 0.6064, Valid Acc: 0.6667, Valid Loss: 0.6441, Test Acc: 0.7553, Test Loss: 0.6349
Epoch: 056, Train Acc: 0.8011, Train Loss: 0.6114, Valid Acc: 0.7143, Valid Loss: 0.6427, Test Acc: 0.7766, Test Loss: 0.6423
Epoch: 057, Train Acc: 0.8065, Train Loss: 0.6088, Valid Acc: 0.7143, Valid Loss: 0.6414, Test Acc: 0.7766, Test Loss: 0.6405
Epoch: 058, Train Acc: 0.8333, Train Loss: 0.5824, Valid Acc: 0.7143, Valid Loss: 0.6402, Test Acc: 0.7660, Test Loss: 0.6321
Epoch: 059, Train Acc: 0.7903, Train Loss: 0.6031, Valid Acc: 0.7143, Valid Loss: 0.6457, Test Acc: 0.7766, Test Loss: 0.6479
Epoch: 060, Train Acc: 0.8226, Train Loss: 0.6048, Valid Acc: 0.7143, Valid Loss: 0.6378, Test Acc: 0.7766, Test Loss: 0.6322
Epoch: 061, Train Acc: 0.8118, Train Loss: 0.6042, Valid Acc: 0.7143, Valid Loss: 0.6367, Test Acc: 0.7872, Test Loss: 0.6375
Epoch: 062, Train Acc: 0.8656, Train Loss: 0.6146, Valid Acc: 0.8571, Valid Loss: 0.6322, Test Acc: 0.7660, Test Loss: 0.6229
Epoch: 063, Train Acc: 0.8602, Train Loss: 0.5873, Valid Acc: 0.8095, Valid Loss: 0.6256, Test Acc: 0.7766, Test Loss: 0.6246
Epoch: 064, Train Acc: 0.8387, Train Loss: 0.5847, Valid Acc: 0.7143, Valid Loss: 0.6233, Test Acc: 0.7660, Test Loss: 0.6296
Epoch: 065, Train Acc: 0.8495, Train Loss: 0.6219, Valid Acc: 0.8095, Valid Loss: 0.6257, Test Acc: 0.7872, Test Loss: 0.6243
