Epoch: 001, Train Acc: 0.5699, Train Loss: 0.7879, Valid Acc: 0.5714, Valid Loss: 0.7811, Test Acc: 0.5000, Test Loss: 0.8043
Epoch: 002, Train Acc: 0.5753, Train Loss: 0.7957, Valid Acc: 0.5714, Valid Loss: 0.7797, Test Acc: 0.4574, Test Loss: 0.8097
Epoch: 003, Train Acc: 0.6344, Train Loss: 0.7838, Valid Acc: 0.4762, Valid Loss: 0.7787, Test Acc: 0.5745, Test Loss: 0.8017
Epoch: 004, Train Acc: 0.5806, Train Loss: 0.7769, Valid Acc: 0.5238, Valid Loss: 0.7771, Test Acc: 0.6277, Test Loss: 0.7963
Epoch: 005, Train Acc: 0.6075, Train Loss: 0.7763, Valid Acc: 0.5714, Valid Loss: 0.7746, Test Acc: 0.6596, Test Loss: 0.7939
Epoch: 006, Train Acc: 0.6989, Train Loss: 0.7764, Valid Acc: 0.6190, Valid Loss: 0.7726, Test Acc: 0.6383, Test Loss: 0.7956
Epoch: 007, Train Acc: 0.4892, Train Loss: 0.7705, Valid Acc: 0.4762, Valid Loss: 0.7712, Test Acc: 0.5957, Test Loss: 0.7819
Epoch: 008, Train Acc: 0.6398, Train Loss: 0.7655, Valid Acc: 0.4762, Valid Loss: 0.7680, Test Acc: 0.7340, Test Loss: 0.7792
Epoch: 009, Train Acc: 0.7366, Train Loss: 0.7659, Valid Acc: 0.5238, Valid Loss: 0.7656, Test Acc: 0.7340, Test Loss: 0.7774
Epoch: 010, Train Acc: 0.6989, Train Loss: 0.7498, Valid Acc: 0.5714, Valid Loss: 0.7626, Test Acc: 0.7553, Test Loss: 0.7687
Epoch: 011, Train Acc: 0.6505, Train Loss: 0.7554, Valid Acc: 0.5238, Valid Loss: 0.7605, Test Acc: 0.7340, Test Loss: 0.7596
Epoch: 012, Train Acc: 0.7097, Train Loss: 0.7397, Valid Acc: 0.5238, Valid Loss: 0.7565, Test Acc: 0.7340, Test Loss: 0.7551
Epoch: 013, Train Acc: 0.7151, Train Loss: 0.7390, Valid Acc: 0.5714, Valid Loss: 0.7513, Test Acc: 0.7340, Test Loss: 0.7493
Epoch: 014, Train Acc: 0.7258, Train Loss: 0.7322, Valid Acc: 0.6190, Valid Loss: 0.7465, Test Acc: 0.7128, Test Loss: 0.7427
Epoch: 015, Train Acc: 0.7097, Train Loss: 0.7305, Valid Acc: 0.5714, Valid Loss: 0.7419, Test Acc: 0.7340, Test Loss: 0.7339
Epoch: 016, Train Acc: 0.7473, Train Loss: 0.7281, Valid Acc: 0.6190, Valid Loss: 0.7354, Test Acc: 0.7234, Test Loss: 0.7327
Epoch: 017, Train Acc: 0.7742, Train Loss: 0.7135, Valid Acc: 0.7143, Valid Loss: 0.7322, Test Acc: 0.7660, Test Loss: 0.7331
Epoch: 018, Train Acc: 0.7688, Train Loss: 0.7184, Valid Acc: 0.6667, Valid Loss: 0.7246, Test Acc: 0.7660, Test Loss: 0.7240
Epoch: 019, Train Acc: 0.7527, Train Loss: 0.6917, Valid Acc: 0.6667, Valid Loss: 0.7183, Test Acc: 0.7447, Test Loss: 0.7139
Epoch: 020, Train Acc: 0.7473, Train Loss: 0.7059, Valid Acc: 0.6190, Valid Loss: 0.7121, Test Acc: 0.7340, Test Loss: 0.7043
Epoch: 021, Train Acc: 0.7742, Train Loss: 0.6860, Valid Acc: 0.7143, Valid Loss: 0.7090, Test Acc: 0.7447, Test Loss: 0.7077
