Epoch: 001, Train Acc: 0.5806, Train Loss: 0.7953, Valid Acc: 0.5714, Valid Loss: 0.7808, Test Acc: 0.4574, Test Loss: 0.8080
Epoch: 002, Train Acc: 0.5699, Train Loss: 0.7851, Valid Acc: 0.5714, Valid Loss: 0.7810, Test Acc: 0.4681, Test Loss: 0.8088
Epoch: 003, Train Acc: 0.5806, Train Loss: 0.7808, Valid Acc: 0.5714, Valid Loss: 0.7795, Test Acc: 0.4681, Test Loss: 0.8075
Epoch: 004, Train Acc: 0.5753, Train Loss: 0.7745, Valid Acc: 0.6190, Valid Loss: 0.7766, Test Acc: 0.4681, Test Loss: 0.8050
Epoch: 005, Train Acc: 0.6075, Train Loss: 0.7726, Valid Acc: 0.7143, Valid Loss: 0.7751, Test Acc: 0.5213, Test Loss: 0.7998
Epoch: 006, Train Acc: 0.6398, Train Loss: 0.7725, Valid Acc: 0.7143, Valid Loss: 0.7732, Test Acc: 0.5745, Test Loss: 0.7979
Epoch: 007, Train Acc: 0.6398, Train Loss: 0.7720, Valid Acc: 0.6190, Valid Loss: 0.7718, Test Acc: 0.7128, Test Loss: 0.7906
Epoch: 008, Train Acc: 0.6667, Train Loss: 0.7775, Valid Acc: 0.6190, Valid Loss: 0.7701, Test Acc: 0.6915, Test Loss: 0.7925
Epoch: 009, Train Acc: 0.6882, Train Loss: 0.7828, Valid Acc: 0.6667, Valid Loss: 0.7706, Test Acc: 0.6702, Test Loss: 0.7921
Epoch: 010, Train Acc: 0.6720, Train Loss: 0.7701, Valid Acc: 0.6667, Valid Loss: 0.7686, Test Acc: 0.5957, Test Loss: 0.7923
Epoch: 011, Train Acc: 0.6344, Train Loss: 0.7695, Valid Acc: 0.6667, Valid Loss: 0.7652, Test Acc: 0.5106, Test Loss: 0.7959
Epoch: 012, Train Acc: 0.5914, Train Loss: 0.7685, Valid Acc: 0.6190, Valid Loss: 0.7654, Test Acc: 0.4574, Test Loss: 0.8021
Epoch: 013, Train Acc: 0.5860, Train Loss: 0.7634, Valid Acc: 0.6190, Valid Loss: 0.7640, Test Acc: 0.4681, Test Loss: 0.8048
Epoch: 014, Train Acc: 0.6882, Train Loss: 0.7612, Valid Acc: 0.7143, Valid Loss: 0.7571, Test Acc: 0.6809, Test Loss: 0.7824
Epoch: 015, Train Acc: 0.6774, Train Loss: 0.7578, Valid Acc: 0.7619, Valid Loss: 0.7523, Test Acc: 0.6809, Test Loss: 0.7789
Epoch: 016, Train Acc: 0.6505, Train Loss: 0.7604, Valid Acc: 0.7619, Valid Loss: 0.7484, Test Acc: 0.7128, Test Loss: 0.7668
Epoch: 017, Train Acc: 0.6828, Train Loss: 0.7576, Valid Acc: 0.7619, Valid Loss: 0.7429, Test Acc: 0.7234, Test Loss: 0.7669
Epoch: 018, Train Acc: 0.7097, Train Loss: 0.7488, Valid Acc: 0.7619, Valid Loss: 0.7370, Test Acc: 0.6383, Test Loss: 0.7692
Epoch: 019, Train Acc: 0.7258, Train Loss: 0.7459, Valid Acc: 0.8571, Valid Loss: 0.7281, Test Acc: 0.6915, Test Loss: 0.7616
Epoch: 020, Train Acc: 0.7258, Train Loss: 0.7367, Valid Acc: 0.8095, Valid Loss: 0.7225, Test Acc: 0.6915, Test Loss: 0.7510
Epoch: 021, Train Acc: 0.7204, Train Loss: 0.7317, Valid Acc: 0.9048, Valid Loss: 0.7131, Test Acc: 0.7766, Test Loss: 0.7347
Epoch: 022, Train Acc: 0.7903, Train Loss: 0.7228, Valid Acc: 0.8571, Valid Loss: 0.7051, Test Acc: 0.7234, Test Loss: 0.7387
Epoch: 023, Train Acc: 0.7849, Train Loss: 0.7240, Valid Acc: 0.8571, Valid Loss: 0.6952, Test Acc: 0.7340, Test Loss: 0.7294
Epoch: 024, Train Acc: 0.7903, Train Loss: 0.7244, Valid Acc: 0.8571, Valid Loss: 0.6873, Test Acc: 0.7340, Test Loss: 0.7231
Epoch: 025, Train Acc: 0.8118, Train Loss: 0.7139, Valid Acc: 0.8095, Valid Loss: 0.6802, Test Acc: 0.7340, Test Loss: 0.7179
Epoch: 026, Train Acc: 0.7796, Train Loss: 0.7154, Valid Acc: 0.9048, Valid Loss: 0.6722, Test Acc: 0.7660, Test Loss: 0.7068
Epoch: 027, Train Acc: 0.8118, Train Loss: 0.6947, Valid Acc: 0.8571, Valid Loss: 0.6681, Test Acc: 0.7447, Test Loss: 0.7109
Epoch: 028, Train Acc: 0.8011, Train Loss: 0.7059, Valid Acc: 0.8571, Valid Loss: 0.6567, Test Acc: 0.7340, Test Loss: 0.6975
Epoch: 029, Train Acc: 0.8387, Train Loss: 0.6810, Valid Acc: 0.8571, Valid Loss: 0.6505, Test Acc: 0.7447, Test Loss: 0.6954
Epoch: 030, Train Acc: 0.8226, Train Loss: 0.6777, Valid Acc: 0.8571, Valid Loss: 0.6494, Test Acc: 0.7340, Test Loss: 0.6967
Epoch: 031, Train Acc: 0.8226, Train Loss: 0.6945, Valid Acc: 0.8095, Valid Loss: 0.6406, Test Acc: 0.7340, Test Loss: 0.6922
Epoch: 032, Train Acc: 0.7473, Train Loss: 0.6829, Valid Acc: 0.8571, Valid Loss: 0.6325, Test Acc: 0.7872, Test Loss: 0.6680
Epoch: 033, Train Acc: 0.8065, Train Loss: 0.6686, Valid Acc: 0.9048, Valid Loss: 0.6260, Test Acc: 0.7447, Test Loss: 0.6750
Epoch: 034, Train Acc: 0.8011, Train Loss: 0.6587, Valid Acc: 0.9048, Valid Loss: 0.6197, Test Acc: 0.7660, Test Loss: 0.6640
Epoch: 035, Train Acc: 0.8280, Train Loss: 0.6604, Valid Acc: 0.9048, Valid Loss: 0.6202, Test Acc: 0.7553, Test Loss: 0.6689
Epoch: 036, Train Acc: 0.8065, Train Loss: 0.6655, Valid Acc: 0.9048, Valid Loss: 0.6173, Test Acc: 0.7660, Test Loss: 0.6601
Epoch: 037, Train Acc: 0.8280, Train Loss: 0.6645, Valid Acc: 0.9524, Valid Loss: 0.6160, Test Acc: 0.7553, Test Loss: 0.6615
Epoch: 038, Train Acc: 0.8226, Train Loss: 0.6497, Valid Acc: 0.9048, Valid Loss: 0.6143, Test Acc: 0.7234, Test Loss: 0.6638
Epoch: 039, Train Acc: 0.8226, Train Loss: 0.6492, Valid Acc: 0.9048, Valid Loss: 0.6138, Test Acc: 0.7234, Test Loss: 0.6629
Epoch: 040, Train Acc: 0.8333, Train Loss: 0.6368, Valid Acc: 0.9048, Valid Loss: 0.6070, Test Acc: 0.7447, Test Loss: 0.6637
Epoch: 041, Train Acc: 0.8226, Train Loss: 0.6468, Valid Acc: 0.9524, Valid Loss: 0.6035, Test Acc: 0.7447, Test Loss: 0.6568
Epoch: 042, Train Acc: 0.8280, Train Loss: 0.6413, Valid Acc: 0.9048, Valid Loss: 0.5968, Test Acc: 0.7553, Test Loss: 0.6465
Epoch: 043, Train Acc: 0.8280, Train Loss: 0.6353, Valid Acc: 0.9524, Valid Loss: 0.5952, Test Acc: 0.7340, Test Loss: 0.6542
Epoch: 044, Train Acc: 0.8280, Train Loss: 0.6523, Valid Acc: 0.9524, Valid Loss: 0.5934, Test Acc: 0.7553, Test Loss: 0.6498
Epoch: 045, Train Acc: 0.8226, Train Loss: 0.6327, Valid Acc: 0.9524, Valid Loss: 0.5927, Test Acc: 0.7553, Test Loss: 0.6443
Epoch: 046, Train Acc: 0.8387, Train Loss: 0.6354, Valid Acc: 0.9524, Valid Loss: 0.5856, Test Acc: 0.7340, Test Loss: 0.6494
Epoch: 047, Train Acc: 0.8226, Train Loss: 0.6328, Valid Acc: 0.9524, Valid Loss: 0.5782, Test Acc: 0.7553, Test Loss: 0.6377
Epoch: 048, Train Acc: 0.8280, Train Loss: 0.6226, Valid Acc: 0.9524, Valid Loss: 0.5785, Test Acc: 0.7553, Test Loss: 0.6365
Epoch: 049, Train Acc: 0.8226, Train Loss: 0.6241, Valid Acc: 0.9524, Valid Loss: 0.5782, Test Acc: 0.7553, Test Loss: 0.6351
Epoch: 050, Train Acc: 0.8495, Train Loss: 0.6106, Valid Acc: 0.9524, Valid Loss: 0.5739, Test Acc: 0.7660, Test Loss: 0.6369
Epoch: 051, Train Acc: 0.8226, Train Loss: 0.6183, Valid Acc: 0.9524, Valid Loss: 0.5669, Test Acc: 0.7660, Test Loss: 0.6263
Epoch: 052, Train Acc: 0.8280, Train Loss: 0.6244, Valid Acc: 0.9524, Valid Loss: 0.5662, Test Acc: 0.7660, Test Loss: 0.6282
Epoch: 053, Train Acc: 0.8441, Train Loss: 0.6226, Valid Acc: 0.9524, Valid Loss: 0.5726, Test Acc: 0.7553, Test Loss: 0.6324
Epoch: 054, Train Acc: 0.8495, Train Loss: 0.6135, Valid Acc: 0.9524, Valid Loss: 0.5675, Test Acc: 0.7766, Test Loss: 0.6269
Epoch: 055, Train Acc: 0.8548, Train Loss: 0.6161, Valid Acc: 0.9524, Valid Loss: 0.5714, Test Acc: 0.7553, Test Loss: 0.6351
Epoch: 056, Train Acc: 0.8548, Train Loss: 0.6003, Valid Acc: 0.9524, Valid Loss: 0.5650, Test Acc: 0.7766, Test Loss: 0.6226
Epoch: 057, Train Acc: 0.8763, Train Loss: 0.6252, Valid Acc: 0.9048, Valid Loss: 0.5621, Test Acc: 0.7660, Test Loss: 0.6181
Epoch: 058, Train Acc: 0.8441, Train Loss: 0.5952, Valid Acc: 0.9048, Valid Loss: 0.5634, Test Acc: 0.7766, Test Loss: 0.6322
Epoch: 059, Train Acc: 0.8763, Train Loss: 0.5956, Valid Acc: 0.9048, Valid Loss: 0.5604, Test Acc: 0.7660, Test Loss: 0.6156
Epoch: 060, Train Acc: 0.8763, Train Loss: 0.6067, Valid Acc: 0.9048, Valid Loss: 0.5576, Test Acc: 0.7660, Test Loss: 0.6141
Epoch: 061, Train Acc: 0.8602, Train Loss: 0.5718, Valid Acc: 0.9048, Valid Loss: 0.5592, Test Acc: 0.7766, Test Loss: 0.6260
Epoch: 062, Train Acc: 0.9086, Train Loss: 0.5864, Valid Acc: 0.9524, Valid Loss: 0.5527, Test Acc: 0.7766, Test Loss: 0.6167
Epoch: 063, Train Acc: 0.8817, Train Loss: 0.5911, Valid Acc: 0.9048, Valid Loss: 0.5550, Test Acc: 0.7660, Test Loss: 0.6143
Epoch: 064, Train Acc: 0.8280, Train Loss: 0.6106, Valid Acc: 0.8571, Valid Loss: 0.5650, Test Acc: 0.7660, Test Loss: 0.6363
Epoch: 065, Train Acc: 0.8817, Train Loss: 0.5772, Valid Acc: 0.9048, Valid Loss: 0.5516, Test Acc: 0.7660, Test Loss: 0.6118
Epoch: 066, Train Acc: 0.8925, Train Loss: 0.5939, Valid Acc: 0.9048, Valid Loss: 0.5483, Test Acc: 0.7872, Test Loss: 0.6182
