Epoch: 001, Train Acc: 0.6075, Train Loss: 0.7980, Valid Acc: 0.3810, Valid Loss: 0.7809, Test Acc: 0.5319, Test Loss: 0.8024
Epoch: 002, Train Acc: 0.5000, Train Loss: 0.7875, Valid Acc: 0.5714, Valid Loss: 0.7819, Test Acc: 0.6277, Test Loss: 0.7981
Epoch: 003, Train Acc: 0.5968, Train Loss: 0.7822, Valid Acc: 0.4762, Valid Loss: 0.7824, Test Acc: 0.4787, Test Loss: 0.8024
Epoch: 004, Train Acc: 0.5645, Train Loss: 0.7812, Valid Acc: 0.5714, Valid Loss: 0.7831, Test Acc: 0.4681, Test Loss: 0.8097
Epoch: 005, Train Acc: 0.5645, Train Loss: 0.7761, Valid Acc: 0.5714, Valid Loss: 0.7826, Test Acc: 0.4681, Test Loss: 0.8089
Epoch: 006, Train Acc: 0.5753, Train Loss: 0.7818, Valid Acc: 0.5238, Valid Loss: 0.7814, Test Acc: 0.4681, Test Loss: 0.8025
Epoch: 007, Train Acc: 0.6559, Train Loss: 0.7778, Valid Acc: 0.4762, Valid Loss: 0.7806, Test Acc: 0.5426, Test Loss: 0.7972
Epoch: 008, Train Acc: 0.5753, Train Loss: 0.7788, Valid Acc: 0.5714, Valid Loss: 0.7796, Test Acc: 0.4681, Test Loss: 0.8033
Epoch: 009, Train Acc: 0.6720, Train Loss: 0.7735, Valid Acc: 0.4762, Valid Loss: 0.7785, Test Acc: 0.5957, Test Loss: 0.7941
Epoch: 010, Train Acc: 0.6720, Train Loss: 0.7749, Valid Acc: 0.4286, Valid Loss: 0.7781, Test Acc: 0.5745, Test Loss: 0.7928
Epoch: 011, Train Acc: 0.6720, Train Loss: 0.7713, Valid Acc: 0.5238, Valid Loss: 0.7772, Test Acc: 0.7340, Test Loss: 0.7873
Epoch: 012, Train Acc: 0.6559, Train Loss: 0.7643, Valid Acc: 0.5238, Valid Loss: 0.7761, Test Acc: 0.6277, Test Loss: 0.7895
Epoch: 013, Train Acc: 0.6667, Train Loss: 0.7645, Valid Acc: 0.5238, Valid Loss: 0.7750, Test Acc: 0.6915, Test Loss: 0.7860
Epoch: 014, Train Acc: 0.6559, Train Loss: 0.7644, Valid Acc: 0.4762, Valid Loss: 0.7738, Test Acc: 0.7021, Test Loss: 0.7836
Epoch: 015, Train Acc: 0.6667, Train Loss: 0.7639, Valid Acc: 0.5238, Valid Loss: 0.7729, Test Acc: 0.5213, Test Loss: 0.7901
Epoch: 016, Train Acc: 0.6505, Train Loss: 0.7620, Valid Acc: 0.5714, Valid Loss: 0.7711, Test Acc: 0.5638, Test Loss: 0.7866
Epoch: 017, Train Acc: 0.6882, Train Loss: 0.7538, Valid Acc: 0.6190, Valid Loss: 0.7706, Test Acc: 0.5426, Test Loss: 0.7864
Epoch: 018, Train Acc: 0.6828, Train Loss: 0.7570, Valid Acc: 0.4286, Valid Loss: 0.7695, Test Acc: 0.6702, Test Loss: 0.7746
Epoch: 019, Train Acc: 0.6774, Train Loss: 0.7590, Valid Acc: 0.6190, Valid Loss: 0.7677, Test Acc: 0.7234, Test Loss: 0.7649
Epoch: 020, Train Acc: 0.6667, Train Loss: 0.7535, Valid Acc: 0.6190, Valid Loss: 0.7667, Test Acc: 0.7128, Test Loss: 0.7646
Epoch: 021, Train Acc: 0.6559, Train Loss: 0.7464, Valid Acc: 0.4286, Valid Loss: 0.7657, Test Acc: 0.6596, Test Loss: 0.7675
Epoch: 022, Train Acc: 0.6882, Train Loss: 0.7397, Valid Acc: 0.6190, Valid Loss: 0.7647, Test Acc: 0.7234, Test Loss: 0.7576
Epoch: 023, Train Acc: 0.6720, Train Loss: 0.7416, Valid Acc: 0.4762, Valid Loss: 0.7633, Test Acc: 0.7128, Test Loss: 0.7596
Epoch: 024, Train Acc: 0.6720, Train Loss: 0.7326, Valid Acc: 0.5714, Valid Loss: 0.7628, Test Acc: 0.5957, Test Loss: 0.7747
Epoch: 025, Train Acc: 0.6774, Train Loss: 0.7414, Valid Acc: 0.5714, Valid Loss: 0.7611, Test Acc: 0.6170, Test Loss: 0.7703
